"Anon_Clara_1864" "Barclay_Ladies_1917" "Bennet_Babylon_1902" "Blackmore_Erema_1877" "Burnett_Garden_1911" "Cbronte_Jane_1847" "Chesterton_Innocence_1911" "Conrad_Almayer_1895" "Corelli_Innocent_1914" "Dickens_Bleak_1853" "Doyle_Hound_1902" "Eliot_Adam_1859" "Ford_Girl_1907" "Forster_Angels_1905" "Galsworthy_Man_1906" "Gaskell_Lovers_1863" "Gissing_Unclassed_1884" "Haggard_Mines_1885" "Hardy_Jude_1895" "James_Ambassadors_1903" "Kipling_Captains_1896" "Lawrence_Peacock_1911" "Lee_Albany_1884" "Lytton_Kenelm_1873" "Meredith_Feverel_1859" "Morris_Roots_1890" "Schreiner_Farm_1883" "Stevenson_Arrow_1888" "Thackeray_Esmond_1852" "Trollope_Phineas_1869" "Ward_Ashe_1905" "Wcollins_Basil_1852" "Woolf_Lighthouse_1927"
"it" 1.26889999847427 0.794520996301509 1.24924766224806 1.41365837288461 1.67176627350343 1.28422324000492 1.2203449845718 0.562780197767957 1.19811015672448 1.43357380922246 1.64833316513607 1.11107504393755 1.50328484952807 1.59347377282476 1.06433561318167 0.941053457064436 1.17362623286794 1.34954893782132 1.35803826698922 1.96390593668348 0.849484846772523 1.08496184926435 0.516022169841371 1.02462333864271 1.14606222495987 0.985837897397673 1.64928402020423 1.00188164338496 0.724909252497564 1.26935500993342 1.10413374365799 1.03898334191997 1.60500739337037
"her" 0.808129097224695 1.83451706870029 0.510855683269476 0.353564408648545 1.17702215861422 0.916004425038879 0.188426324042693 1.06514896187721 1.87643453775348 0.750678535769031 0.277525481885155 1.41295728667684 1.14754568666265 1.43111984125393 1.14388647086793 1.71533132923801 1.763641603689 0.177029779804055 1.20683967451067 1.12110348180106 0.45017046203688 1.29100801648369 0.794737847996432 0.599524766953025 1.25030354361255 0.628058463233626 0.931815700945709 0.134581116275592 1.08040389330878 0.827279758564734 2.01696747899859 1.20985746178946 1.98687856209713
"you" 1.0349545077736 0.650508951657775 1.65294109011905 1.12421496716046 0.919163006464985 1.5851045068059 0.864990641914108 0.775809990143398 1.75654464715301 1.19084785329564 1.39099135466075 0.905646728217875 1.08156180967955 1.31286203924556 0.568742913573022 0.133315906417462 1.29210964519021 0.401348336405083 1.3332966791291 1.14054809503555 0.806163003145543 1.30951997681981 0.0971523220997643 1.36094211034807 1.22009725241206 0.0823151959036847 1.2126504649155 0.529601614973395 0.708312364146438 1.35314457301445 0.927389170756051 1.13858835651726 0.17657952538869
"his" 0.792363205460084 1.09236408863287 0.816194712350083 1.12241718203174 0.926565661550609 0.649860782291294 1.31392584349234 1.82188165718101 0.868412957573176 1.14922161751677 1.15887913344771 0.892198824931485 1.64959692457756 0.799743440700728 1.83607037050583 1.17161155404522 0.997502241578071 0.734794839460665 1.02608862986585 1.20678130886553 1.06797762332599 0.999645858150092 1.46684079760464 1.17816016920385 1.68385266437257 0.764818355640535 1.26226791438013 1.28475121185311 1.77640243706567 1.29779038201975 1.05284316171782 0.776232182723682 1.10685214694862
"she" 0.615378355973493 1.41311818806664 0.591594368843675 0.281653003499688 2.20722499136357 0.779191628767028 0.184632505437807 0.772630441003466 1.85908205358763 0.513859005189217 0.230430248595553 0.972886244649821 1.22500502051238 1.87809424545509 0.890603855016276 1.2092536923278 1.3729665684642 0.184304976234358 1.14842203650759 1.1855137631403 0.288184438040346 1.52924889733106 0.367904695164681 0.460610491683422 0.905004175575548 0.569076708688466 1.01021127109982 0.15825742376852 0.684755490357743 0.760172280441014 1.58862180820095 0.620814013395157 2.75349211134559
"had" 0.776597313695474 1.00235656073053 0.885189589113489 0.80480847595762 1.1696195035286 0.796827653286446 0.754969902372401 0.623191631426664 0.728015585685778 0.589798759650677 0.851078144447808 0.906574169823832 1.3426284533953 1.07434206570323 1.40814161881424 1.06809567376813 1.16401946970667 0.669318071587933 1.04327028810205 1.63517044418788 0.433218436269801 0.511091078844854 0.982671848123845 0.632947750476539 0.772333406381227 0.714910717179246 0.605332883468458 0.786302633054617 0.967437975822081 1.3834756365732 1.08611272838171 0.923922376781728 1.34085590823607
"with" 0.836609417831732 0.828887506955127 0.758943644397469 0.855745721271394 0.624290578887628 0.749798254567998 1.04962314735191 1.07627738386697 0.911794167987822 0.952340772616687 0.741749924311232 0.84211697820976 0.800413116447199 0.611332705297549 0.970154712702535 0.6765128741341 0.938260535416934 0.820884663885925 0.67627006817682 0.919365619493225 0.84383417151683 1.01896268632691 0.777218576798114 0.894587043371543 0.639070356967288 0.812781540655281 0.724414762183565 0.826178519358497 0.939062650576608 0.734390876416082 0.984224680473537 0.681779151640048 0.818295361557345
"as" 0.913913145193692 0.70614996890649 0.610678058161213 1.0523035620116 0.977150471302374 0.850804576815575 0.768880570590318 0.546882452068297 0.788749280266282 0.852212800067502 0.681198910081744 1.23859826475676 0.777462202713946 0.739612354933756 0.626348707069968 1.35877663050582 0.817375432304342 0.814822000194005 0.975918187816142 1.44740839764234 0.642293420730444 0.65033321528605 0.855258966681531 0.792751390448338 0.656838763555813 0.845837249246524 0.54380724613232 0.550785679572331 0.986711781649195 1.04983393742702 0.745792786048962 1.12399106989524 0.713496131042106
"for" 0.97036520925407 0.580139429843223 0.623889843073355 0.985186250539336 0.410847357252134 0.697959030980616 0.595629520967171 0.694731487075133 0.802946767311075 0.684864081902432 0.704746526726545 1.10968388152861 0.892216771380211 0.960093002745986 0.758019092205845 1.09214481767089 0.753330344562572 0.83179745853138 0.720255113261491 1.20070486722975 0.589553785010642 0.532822510543769 0.73899471236542 0.73217223281197 0.81438530197407 1.07204200019445 0.634111004157942 0.819947912123516 0.799327558330032 0.770029876097605 0.601624663838753 0.782242830156277 0.826908996942159
"not" 0.768968656390018 0.577684679082251 0.593062344945024 0.868330217172444 0.68351181957262 0.834771827252468 0.45778744498963 0.530984706368637 0.657028150461813 0.637331420776554 0.629057758939684 0.581505886935594 1.16189000774593 0.968110480848249 0.716872096850883 0.605411057378121 0.61323171512745 0.60990396740712 0.730564108203211 0.380992890563286 0.312670697481682 0.467628215447024 0.48735427151685 0.977100033945218 0.808462499777895 0.59565090579123 0.856397177759474 0.619322359157123 0.572860339861443 1.18746113832482 0.447752918018243 0.525502318392581 0.732159007709204
"at" 0.734893987092312 0.580957680096881 0.703160552546205 0.722110360036435 0.699550905591472 0.626346082932069 0.625980069806262 0.602524562017106 0.564744484670658 0.703427132993011 0.612238032764827 0.676104930743298 0.616805806581175 0.719568659678098 0.791851066164369 0.681218141419422 0.770142180094787 0.631729556698031 0.714069716296459 0.834295436592332 0.565067525569306 0.822574933195969 0.519207491877429 0.564012846959292 0.58398829654286 0.414816735262663 0.710521876333469 0.523371007738414 0.769881466094163 0.693064802317293 0.684798580498489 0.784818821913103 0.803939302582655
"but" 0.805586211456209 0.581775930350538 0.66352519780978 0.877918404525624 0.586043527611903 0.664290256898091 0.743588446557742 0.419700486471018 0.567899481791723 0.575735842157814 0.672789046994315 0.795744897911865 0.619674670797831 0.879918221723357 0.541311583336381 0.797804208600183 0.645254258998335 0.538364535842468 0.593110842313613 0.833080148265176 0.565067525569306 0.50626187180065 0.465057017264445 0.717027443402877 0.444210164713129 0.965745211783388 0.751208184894464 0.868546648556368 0.486663597134628 0.862539619951774 0.586376112451135 0.492014425553838 0.677605983605381
"on" 0.485691181780732 0.500769155238438 0.628293771377402 0.412891317896352 0.636628337363668 0.60710678345634 0.677828924073044 0.790117961273092 0.533983262740273 0.58332981760396 0.391899619874188 0.746590492796097 0.461887138881717 0.440961295624461 0.693098277312461 0.814534047836884 0.585211989240425 0.669318071587933 0.639157686386629 0.674485021571368 0.938012092445047 0.725185924471202 0.356756068038479 0.631903282241429 0.585765137201713 0.804355575720258 0.863343620684522 0.466049421176588 0.513968155389706 0.52776050592214 0.588455460367629 0.805426755967714 0.719238554631982
"is" 0.465856672786545 0.309298595882565 0.758943644397469 0.568699362385541 0.461432167003899 0.731627805063142 0.629773888411149 0.418110711901052 0.5473920005048 0.976810249054269 1.04955091331113 0.449809178889574 0.312706199615572 0.843839570263174 0.217621886544018 0.277087962357862 0.368259254515179 0.808759336502086 0.535380470639982 0.316582609224038 0.250513269669059 0.442677312385306 0.344014779894247 0.961433010418571 0.599979862472533 0.540558058139158 0.861358922705937 0.522124886291418 0.38761765052307 0.735907429594019 0.320912695112146 0.396702730551262 0.216776490517823
"be" 0.55790913760572 0.465584394331162 0.595998297147722 0.682559087204564 0.462665942851503 0.549388885029153 0.345237493044666 0.330673110552924 0.589195712358912 0.646612946321844 0.553368991152824 0.728969102282897 0.530739880081476 0.631376400553206 0.419699352620606 0.577179453666187 0.589214807224286 0.482588029876807 0.607543435232021 0.525004557331227 0.32020493115594 0.278484272882393 0.437981779957954 0.634514452829203 0.631370714112261 0.573613766730402 0.425717716406506 0.550785679572331 0.428842179653286 1.10139674547688 0.457456541628545 0.492014425553838 0.529738576166071
"my" 1.44944488803674 0.548227669950578 0.418373188884485 1.06908288987967 0.186300152988205 1.19390541746608 0.216247660478527 0.17805475183619 0.362035919642223 1.03728079427358 0.805664883775692 0.313475262813765 0.401640990331928 0.250546190695717 0.129841629786767 0.244151091360606 0.337037274241066 0.630517023959647 0.390367275126457 0.205991371452877 0.224143451809158 0.41853127716429 0.154488118748805 0.507611562263363 0.454871208666244 0.239167773924879 0.404878387631362 0.584430958641229 0.924607296206273 0.35032378410349 0.224569574981286 1.86330070410441 0.0287121179493805
"have" 0.554349097529841 0.425490131901941 0.629761747478751 0.768253511673618 0.318314168681834 0.579851109199057 0.384440285295159 0.322724237703094 0.511898282892817 0.617080819586831 0.909947186059811 0.442389646041911 0.48483805261497 0.529153554749354 0.323689696792363 0.335119592210169 0.557992826950173 0.435299253079833 0.57386738508907 0.543841526402139 0.192122958693564 0.36138566047455 0.554246034274065 0.606313810481239 0.518245192165317 0.399261107690313 0.540830199164442 0.431158020660694 0.436337548586052 0.740836227422315 0.386065596495606 0.602782071097372 0.272765120519115
"him" 0.453142243944118 0.398487873531241 0.418373188884485 0.564504530418524 0.688446922963036 0.384785989514582 0.485608781425464 0.551651775778195 0.500067043688823 0.585298626052961 0.529821374508023 0.535597527440679 0.573772843331325 0.697520594896875 0.703156431732563 0.633642661090054 0.543582682208275 0.367397419730333 0.646717616010556 0.99289056328614 0.512327889849504 0.631821254949937 0.391794610435115 0.441810063451445 1.01931425796173 0.61120653336358 0.588462950650485 0.559508529701305 0.78861988842608 0.88073825808702 0.674401840916022 0.44822256568779 0.608696900526867
"me" 1.00189699278329 0.460674892809217 0.397821523465598 0.931851958387267 0.370132754281202 1.09770892008743 0.182103293034549 0.190772948395917 0.58130821955625 0.686551632001575 0.548323073300367 0.404828261000617 0.301230742748946 0.304664167885991 0.127098496763103 0.280224807214743 0.557992826950173 0.337084101270734 0.462530239718496 0.348180105730084 0.288184438040346 0.628601783587135 0.105115627189909 0.49455570932449 0.429403159222691 0.370742457141005 0.469381071935378 0.563246894042293 0.282147101969141 0.418189538816179 0.397848568022401 1.25794264125021 0.0502462064114159
"said" 0.115955591042939 0.474585147121396 0.785367214221752 0.274461862984803 1.02156640181612 0.311569766509724 0.752440689969144 0.260723029474421 0.490602052325627 0.490233303801207 0.403673428196589 0.562957054816436 0.625412399231144 0.511114229019262 0.447130682857247 0.493007450006535 0.315422057128218 0.362547288776797 0.543627666593358 0.20234550647141 0.883388898306681 0.899842245903223 0.0350385423966363 0.402642504634828 0.475008736133239 0.706484752244223 0.840519593930794 0.529601614973395 0.276793267017164 0.740077950833346 0.735396046466495 0.182036750815731 0.607261294629398
"all" 0.648435870963805 0.315026347658168 0.297999148573861 0.598662447864231 0.393574495385678 0.339359865752444 0.423643077545652 0.387904995071699 0.516630778574415 0.411480965841173 0.361624112759444 0.389061753699333 0.516395558998193 0.55921909763284 0.456274459602794 0.500326754672592 0.460324068143973 0.328596372102047 0.354629425995162 0.58516132952543 0.568834642406434 0.330800682527929 0.471427661336561 0.301329085829177 0.294955549369518 0.528243186311048 0.397931944706314 0.336452790688981 0.312663961195404 0.411744187809946 0.362499653442014 0.389833419199725 0.654636289245876
"which" 0.317860721060689 0.495859653716493 0.292127244168465 0.341579174457069 0.215910773330701 0.318517291320404 0.303505488390915 0.187593399255986 0.281583493055063 0.322884585636136 0.699700608874088 0.329241770115049 0.154918667699458 0.240524343067888 0.324604074466918 0.394196837014769 0.492346612014858 0.557765059656611 0.407548933362657 0.41319803123291 0.0904108040910889 0.151315154051705 0.874370898897879 0.582813275191268 0.196637032913012 0.206760216482484 0.214347381687192 0.138319480616581 0.601235665106916 0.434113347184519 0.417255815243006 0.71097372488408 0.437859798728053
"so" 0.562994909142691 0.362484862370307 0.267171650445531 0.520159163910063 0.437990425899423 0.337222165810696 0.235216753502959 0.228927538075101 0.384909648769945 0.566173058262667 0.410401318666532 0.350109206249102 0.453280546231747 0.390852057485318 0.359350426099996 0.467389883675337 0.390675035224798 0.392860607236395 0.381432812843633 0.573008446253874 0.24674615283193 0.344483435819838 0.301012932407466 0.475755281092514 0.337007444962361 0.606669475321645 0.445564696192357 0.355144612393924 0.352282339840027 0.58159814373891 0.304971027752364 0.268761806628885 0.508204487704035
"this" 0.361089779124942 0.44594638824338 0.433052949897976 0.503379836041996 0.282534669101318 0.358064740242736 0.453993626384744 0.281390098883978 0.26738600601027 0.441294350926043 0.56682477209271 0.36402083033847 0.306968471182259 0.346755927922872 0.491935188910428 0.371716115540452 0.439509414627898 0.412261131050538 0.377309214866945 0.516497539041137 0.274999529110395 0.183509867679727 0.530356119003631 0.276261848186542 0.321608159252305 0.370742457141005 0.262972482162527 0.447357599471644 0.443297534023621 0.363214486115956 0.246056170118384 0.469689163661343 0.424939345650832
"by" 0.375838516582158 0.387032369980035 0.37873783414806 0.328994678556019 0.186300152988205 0.340428715723318 0.36167737366584 0.565959746907888 0.339950939794767 0.413168515940317 0.354896222289501 0.396017565744017 0.338525977565482 0.298651059309294 0.376723601916536 0.442817932296432 0.341040092224926 0.481375497138423 0.484522762260831 0.353648903202285 0.286300879621781 0.183509867679727 0.686436898770466 0.503433689322923 0.382613021872909 0.31953851638202 0.204423891794266 0.571969744171267 0.418669893244531 0.340087050152414 0.371510161080152 0.473123819337111 0.285685573596336
"from" 0.383975751041312 0.55068242071155 0.312678909587352 0.364351119420874 0.203573014854661 0.385854839485456 0.285801001568112 0.434008457600712 0.302879723622252 0.299821400947841 0.481044168600935 0.34639943982527 0.413116447198554 0.276602994528071 0.371237335869207 0.347144164161548 0.377866017676444 0.447424580463673 0.398614471079833 0.31901318587835 0.371061008457177 0.338849360934935 0.401350576543289 0.41778729404392 0.332269203205421 0.450465048449298 0.366176777048953 0.392528255803811 0.383869966056686 0.318097029072324 0.35418226177604 0.500601064743259 0.314397691545717
"if" 0.368718436430399 0.237292573560698 0.29946712467521 0.451244067309075 0.635394561516064 0.287520642165063 0.317416156608832 0.232107087215033 0.311555965705181 0.385605197654305 0.348168331819558 0.475777543856395 0.444673953581777 0.340742819346175 0.278885190739183 0.44647758462946 0.318624311515307 0.282520128043457 0.335385968770618 0.487330619189403 0.177054491345049 0.258362576864879 0.136968847550487 0.435021019923232 0.290809587832195 0.278704994004602 0.284804159926963 0.291592418597116 0.200233427203906 0.394682964558152 0.211400371510161 0.309119010819165 0.422068133855894
"would" 0.358546893356457 0.302752593853304 0.226068319607757 0.337983604199626 0.28623599664413 0.355927040300988 0.194749355050837 0.313185590283298 0.339162190514501 0.247226089524533 0.322938742557271 0.338516186174628 0.381558940815331 0.380830209857489 0.409641198200505 0.292772186642269 0.433905469450493 0.195217770879814 0.294837255333187 0.33845779911284 0.171403816089356 0.148095682688902 0.226157864560107 0.297673447006293 0.292586428491048 0.198982402696309 0.293735300830596 0.249224289399245 0.319088563137776 0.690031695961419 0.264770301366825 0.218959299330242 0.644587047963593
"no" 0.464330941325454 0.22992832127778 0.384609738553456 0.445251450213337 0.262794255539654 0.407231838902932 0.259244271333907 0.298877619153604 0.40305088221607 0.35326048742072 0.444040771016248 0.438216158815101 0.149180939266145 0.390852057485318 0.387696134011192 0.257744085740426 0.405085179966697 0.263119604229314 0.337447767758962 0.255818192866258 0.29006799645891 0.266411255271884 0.211823915397847 0.36765281875865 0.321015879032688 0.296853226172343 0.366176777048953 0.25420877518723 0.328190082556135 0.405298836803713 0.345864870110067 0.31083633865705 0.203856037440602
"they" 0.346849618821423 0.223382319248519 0.300935100776559 0.30861978043051 0.534224942012535 0.270953467616518 0.445141382973342 0.3084162665734 0.204286063588967 0.240194630778101 0.174925152218522 0.30698317157206 0.438936225148464 0.394860796536449 0.436158150762591 0.399947719252385 0.269789932112207 0.386797943544476 0.54294040026391 0.374916448927508 0.636642745474751 0.400019316828177 0.164044084856979 0.253283547014126 0.356552692209738 1.17380173056357 0.528922011292931 0.518386521950429 0.248953325266889 0.24795644459273 0.278632620810114 0.175167439464194 0.852749903096602
"were" 0.293957594836925 0.180015055804667 0.25249188943204 0.290641929143295 0.436756650051819 0.332412340941764 0.380646466690273 0.233696861784999 0.276850997373465 0.254538806620822 0.348168331819558 0.252727837623524 0.361476891298735 0.270589885951374 0.37763797959109 0.586589988236832 0.276194440886384 0.463187506062664 0.330575104464482 0.283162180227259 0.269348853854702 0.400019316828177 0.246862457794483 0.236049821134815 0.262380137290555 0.767410960235927 0.293735300830596 0.421189049084724 0.409568373826172 0.36890156053322 0.317447115251324 0.273055126223596 0.422068133855894
"there" 0.28429462891668 0.214381566458286 0.321486766195446 0.311016827268805 0.445393080985047 0.270953467616518 0.375588041883757 0.394264093351563 0.257921014647074 0.325415910784851 0.501227840010765 0.350109206249102 0.272542100582379 0.350764666974003 0.354778537727223 0.240491439027578 0.356250800563597 0.401348336405083 0.315455245216626 0.340280731603573 0.244862594413366 0.270435594475387 0.178378034019239 0.263728229365224 0.24224260982356 0.458242862235473 0.478312212839011 0.337698912135977 0.24413487381011 0.5383763781677 0.325071390945133 0.215524643654474 0.546965846935699
"what" 0.318369298214386 0.113736785258403 0.344974383817031 0.387123064384678 0.361496323347974 0.385854839485456 0.252921240325763 0.219388890655305 0.302090974341986 0.349322870522719 0.339758468732129 0.326459445297175 0.395903261898614 0.380830209857489 0.36392231447277 0.259835315645014 0.33863840143461 0.22795615481618 0.380058280184737 0.634380506775232 0.235444802320544 0.309874118669714 0.194304644199529 0.245450035250803 0.388535824069084 0.22037139060829 0.295719998809181 0.256701018081222 0.206658029146277 0.342741018213804 0.301505447891541 0.309977674738108 0.456522675395151
"one" 0.352443967512091 0.188197558341243 0.296531172472512 0.308020518720936 0.489809011498791 0.309966491553413 0.419849258940766 0.16215700613653 0.3415284383553 0.271414307612257 0.407037373431561 0.264784578500976 0.284017557449006 0.368803992704095 0.231337551662339 0.364919618350542 0.345843473805559 0.297070520904064 0.314767978887178 0.325697271677706 0.327739164830197 0.218924052670551 0.299420271389437 0.31334047053294 0.322200439471923 0.202871309589396 0.518998521400006 0.306545875961071 0.254307160218865 0.273737848617662 0.293188056225568 0.255881847844754 0.651765077450938
"or" 0.26852873715207 0.204562563414395 0.206984630290219 0.427273598926123 0.215910773330701 0.340428715723318 0.364206586069098 0.149438809576802 0.309189717864382 0.292789942201409 0.215292495038181 0.198472503674987 0.272542100582379 0.292637950732597 0.236823817709667 0.330414324924846 0.21054822595107 0.339509166747502 0.293462722674291 0.203560794798566 0.209074984460643 0.161778435980812 0.539912085111805 0.307073661122281 0.209074917524979 0.293612470428104 0.13595181153308 0.257947139528218 0.346393121392854 0.283216305979769 0.269622113171976 0.316846986089645 0.312962085648248
"when" 0.286837514685165 0.338755605014238 0.167349275553794 0.306821995301788 0.586043527611903 0.306225516655355 0.231422934898073 0.217799116085339 0.236624784079885 0.347354062073718 0.240522084300468 0.384888266472522 0.226640273115873 0.270589885951374 0.194762444680151 0.293294994118416 0.351447418982964 0.201280434571733 0.318891576863866 0.165886856656742 0.348458307434405 0.366214867518753 0.191119322163471 0.300806851711622 0.273633461463287 0.33833489969861 0.486251004753352 0.191902702837419 0.382799199066291 0.312030816360576 0.219717763176135 0.417310664605873 0.255537849749487
"been" 0.235979799315455 0.238929074068013 0.281851411459021 0.32599837000815 0.344223461481518 0.210029019276709 0.190955536445951 0.131951289307176 0.220061049194293 0.282945899956405 0.373397921081845 0.324140841282281 0.355739162865422 0.238519973542322 0.31911780841959 0.348712586589988 0.32342769309594 0.210980696478805 0.318891576863866 0.449656681047579 0.145033998229455 0.127169118830688 0.372682678218768 0.20889364702196 0.193675631814924 0.209352821077875 0.171676375147612 0.190656581390422 0.288036320416314 0.528139644216624 0.342399290249244 0.250729864331101 0.238310578979858
"an" 0.186139238253139 0.171014303014434 0.386077714654805 0.162399923294501 0.722992646695948 0.315310741407782 0.403409378319591 0.248004832914693 0.371500911005419 0.272258082661829 0.338076496114643 0.439607321224037 0.364345755515391 0.220480647812231 0.331919095863355 0.364396810874396 0.318624311515307 0.260694538752546 0.282466461403123 0.329343136659172 1.03784068862896 0.266411255271884 0.332866152768045 0.326396323471812 0.319831318593453 0.101759730369122 0.192515703922756 0.341437276476965 0.20612264565108 0.243785923353402 0.307743491641021 0.223252618924953 0.193806796158319
